"";"Author.Names";"Title";"Source.title";"Publication.Year";"Abstract";"Publication.Type";"DOI";"ID";"database";"yvonne_included";"yvonne_excluded";"yvonne_comments";"catherine_included";"catherine_excluded";"catherine_comment";"johannes_included";"johannes_comment";"tim_included";"tim_comment"
"9";"KentBraun, JA; Ng, AV; Castro, M; Weiner, MW; Gelinas, D; Dudley, GA; Miller, RG";"Strength, skeletal muscle composition, and enzyme activity in multiple sclerosis";"JOURNAL OF APPLIED PHYSIOLOGY";1997;"This study examined functional, biochemical, and morphological characteristics of skeletal muscle in nine multiple sclerosis (MS) patients and eight healthy controls in an effort to ascertain whether intramuscular adaptations could account for excessive fatigue in this disease. Analyses of biopsies of the tibialis anterior muscle showed that there were fewer type I fibers (66 +/- 6 vs. 76 +/- 6%), and that fibers of all types were smaller (average down arrow 26%) and had lower succinic dehydrogenase (SDH; average down arrow 40%) and SDH/alpha-glycerol-phosphate dehydrogenase (GPDH) but not GPDH activities in MS vs. control subjects, suggesting that muscle in this disease is smaller and relies more on anaerobic than aerobic-oxidative energy supply than does muscle of healthy individuals. Maximal voluntary isometric force for dorsiflexion was associated with both average fiber cross-sectional area (r = 0.71, P = 0.005) and muscle fat-free cross-sectional area by magnetic resonance imaging (r = 0.80, P < 0.001). Physical activity, assessed by accelerometer, was associated with average fiber SDH/GPDH (r = 0.78, P = 0.008). There was a tendency for symptomatic fatigue to be inversely associated with average fiber SDH activity (r = -0.57, P = 0.068). The results of this study suggest that the inherent characteristics of skeletal muscle fibers per se and of skeletal muscle as a whole are altered in the direction of disuse in MS. They also suggest that changes in skeletal muscle in MS may significantly affect function.";"Article";NA;"WOS:A1997YK80700028";"WoS";"No";"Out of scope (topic)";"";"yes";"";"";"Out of scope (topic)";"";"included";""
"31";"Baram Y., Miller A.";"Auditory feedback control for improvement of gait in patients with Multiple Sclerosis";"Journal of the Neurological Sciences";2007;"Objective: To study the use of auditory feedback for gait management and rehabilitation in patients with Multiple Sclerosis (MS). Methods: An auditory feedback cue, responding to the patient's own steps in closed-loop, was produced by a wearable motion sensor and delivered to the patient through ear phones. On-line (device on) and residual short-term therapeutic effects on walking speed and stride length were measured in fourteen randomly selected patients with gait disturbances predominantly due to cerebellar ataxia. Results: Patients showed an average improvement of 12.84% on-line and 18.75% residually in walking speed. Average improvement in stride length was 8.30% on-line and 9.93% residually. The improvement results are particularly noteworthy when compared with the lack of change in healthy control subjects. Conclusions: Patients with MS using auditory feedback cues showed improvement in walking abilities. © 2007 Elsevier B.V. All rights reserved.";"Article";"10.1016/J.JNS.2007.01.003";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=0022510X&id=doi:10.1016%2Fj.jns.2007.01.003&atitle=Auditory+feedback+control+for+improvement+of+gait+in+patients+with+Multiple+Sclerosis&stitle=J.+Neurol.+Sci.&title=Journal+of+the+Neurological+Sciences&volume=254&issue=1-2&spage=90&epage=94&aulast=Baram&aufirst=Yoram&auinit=Y.&aufull=Baram+Y.&coden=JNSCA&isbn=&pages=90-94&date=2007&auinit1=Y&auinitm=";"Embase";"Yes";"";"";"no";"Out of scope";"auditory feedback device";"Included";"";"Out of scope (topic)";"more therapeutic"
"45";"Daumer M., Thaler K., Kruis E., Feneberg W., Staude G., Scholz M.";"Steps towards a miniaturized, robust and autonomous measurement device for the long-term monitoring of patient activity: ActiBelt";"Biomedizinische Technik";2007;"We describe the first steps in the development of a wearable measurement device for measuring a subject's three-dimensional acceleration. The ultimate aim is a standard measurement instrument integrated in a belt buckle that allows objective evaluation of treatment and rehabilitation measures in patients, in particular for disabling chronic diseases such as multiple sclerosis. In a first step we combined standard hardware elements to record test data from healthy volunteers. We then developed algorithms to automatically distinguish between different stages of activity, such as jogging, walking, lying, standing and sitting, and to detect and count steps. Distinction between standing and sitting is the most difficult to accomplish. As a first validation, we calculated the distance traveled from data of 17 experiments and a total of 4.5 h, for which one proband was walking and running for a known distance, and compared the results with two commercially available pedometers. We could show that the relative error for the ActiBelt is only half of that for the two pedometers. Apart from developing much smaller, robust and integrated hardware, we describe ideas on how to develop algorithms that allow extraction of a """"baseline step pattern"""" in analogy to baseline ECG to define and detect clinically relevant deviations. ©2007 by Walter de Gruyter.";"Article";"10.1515/BMT.2007.028";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00135585&id=doi:10.1515%2FBMT.2007.028&atitle=Steps+towards+a+miniaturized%2C+robust+and+autonomous+measurement+device+for+the+long-term+monitoring+of+patient+activity%3A+ActiBelt&stitle=Biomed.+Tech.&title=Biomedizinische+Technik&volume=52&issue=1&spage=149&epage=155&aulast=Daumer&aufirst=Martin&auinit=M.&aufull=Daumer+M.&coden=BMZTA&isbn=&pages=149-155&date=2007&auinit1=M&auinitm=";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"Out of scope (outcomes)";"New accelerometer belt compared to standard pedometers, nonetheless interesting (Actibelt) => Review2"
"60";"E. Snook";"Pain and physical activity in women with MS: Differential pattern of relationships with objective and self-report measures of physical activity";"Exercise and Women's Health";2008;NA;"Chapter";NA;"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895238902&origin=inward";"Scopus";"Yes";"";"Could not find and abstract, might be interesting";"no";"Review";"";"Included";"Conference paper referring to original study";"Review";""
"75";"Motl R.W., McAuley E.";"Longitudinal Analysis of Physical Activity and Symptoms as Predictors of Change in Functional Limitations and Disability in Multiple Sclerosis";"Rehabilitation Psychology";2009;"Objective: This longitudinal, observational study examined changes in physical activity and symptoms as correlates of changes in functional limitations and disability across a 6-month period among individuals with multiple sclerosis (MS). Method: Individuals with MS wore an accelerometer for a 7-day period and completed a battery of measures including the Godin Leisure-Time Exercise Questionnaire (Godin & Shephard, 1985), Symptom Inventory (Schwartz, Vollmer, & Lee, 1999), MS-Related Symptom Checklist (Gulick, 1989), and abbreviated Late-Life Function and Disability Inventory (McAuley, Konopack, Motl, Rosengren, & Morris, 2005) at baseline (n = 292) and 6-month follow-up (n = 276). The data were analyzed using panel analysis with latent variables in AMOS 16.0. Results: The standardized coefficients indicated that (a) change in physical activity was associated with residual change in function (? = .22), (b) change in symptoms was associated with residual changes in both function (? = -.29) and disability (? = -.15), and (c) change in function was associated with residual change in disability (? = .20). Conclusion: Our findings indicate that change in physical activity is associated with change in disability through a pathway that is consistent with Nagi's (1976) Disablement Model and its extension in individuals with MS. © 2009 American Psychological Association.";"Article";"10.1037/A0015770";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00905550&id=doi:10.1037%2Fa0015770&atitle=Longitudinal+Analysis+of+Physical+Activity+and+Symptoms+as+Predictors+of+Change+in+Functional+Limitations+and+Disability+in+Multiple+Sclerosis&stitle=Rehabil.+Psychol.&title=Rehabilitation+Psychology&volume=54&issue=2&spage=204&epage=210&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=RHBPB&isbn=&pages=204-210&date=2009&auinit1=R&auinitm=W";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Duplicate";"";"included";"accelerometer used as outcome measure"
"90";"Baram Y., Miller A.";"Glide-symmetric locomotion reinforcement in patients with multiple sclerosis by visual feedback";"Disability and Rehabilitation: Assistive Technology";2010;"Purpose. To compare the effects of gait training with distinct glide-symmetric visual feedback cues, adapted to the geometry of human locomotion, to the effects of training with visual cues of no distinct symmetry, on the walking abilities of subjects with gait disorders due to multiple sclerosis (MS). Methods. Ten patients trained with transverse lines while 11 patients trained with checkerboard tiles, both provided by a wearable virtual reality device. Baseline performance (walking speed and stride length along a 10m straight track) was measured before device use. Following 20min training with the device and 10min rest, performance without the device was measured again and compared to the baseline performance. Results. The average improvement in the group using the visual cue of transverse lines was 7.79±4.24 in walking speed and 7.20±3.92 in stride length. The average improvement in the group using the visual cue of checkerboard tiles was 21.09±18.39 in walking speed and 12.99±1.72 in stride length. Conclusions. Patients with gait disorders due to MS, training with a glide-symmetric visual feedback cue, showed a significantly higher improvement in their gait parameters than patients training with a visual feedback cue of no without distinct symmetry. © 2010 Informa UK Ltd.";"Article";"10.3109/17483101003671717";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17483107&id=doi:10.3109%2F17483101003671717&atitle=Glide-symmetric+locomotion+reinforcement+in+patients+with+multiple+sclerosis+by+visual+feedback&stitle=Disabil.+Rehabil.+Assistive+Technol.&title=Disability+and+Rehabilitation%3A+Assistive+Technology&volume=5&issue=5&spage=323&epage=326&aulast=Baram&aufirst=Yoram&auinit=Y.&aufull=Baram+Y.&coden=&isbn=&pages=323-326&date=2010&auinit1=Y&auinitm=";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"Out of scope (topic)";"wearable for therapy, not diagnostic (AR device, not sensor based?)"
"111";"Schimpl M., Moore C., Lederer C., Neuhaus A., Sambrook J., Danesh J., Ouwehand W., Daumer M.";"Association between walking speed and age in healthy, free-living individuals using mobile accelerometry-a cross-sectional study";"PLoS ONE";2011;"Context: Walking speed is a fundamental parameter of human motion and is increasingly considered as an important indicator of individuals' health status. Objective: To evaluate the relationship of gait parameters, and demographic and physical characteristics in healthy men and women. Design, Setting, and Participants: Recruitment of a subsample (n = 358) of male and female blood donors taking part in the Cambridge CardioResource study. Collection of demographic data, measurement of physical characteristics (height, weight and blood pressure) and assessment of 7-day, free-living activity parameters using accelerometry and a novel algorithm to measure walking speed. Participants were a median (interquartile range[IQR]) age of 49 (16) years; 45% women; and had a median (IQR) BMI of 26 (5.4). Main Outcome Measure: Walking speed. Results: In this study, the hypothesis that walking speed declines with age was generated using an initial 'open' dataset. This was subsequently validated in a separate 'closed' dataset that showed a decrease of walking speed of -0.0037 m/s per year. This is equivalent to a difference of 1.2 minutes, when walking a distance of 1 km aged 20 compared to 60 years. Associations between walking speed and other participant characteristics (i.e. gender, BMI and blood pressure) were non-significant. BMI was negatively correlated with the number of walking and running steps and longest non-stop distance. Conclusion: This is the first study using accelerometry which shows an association between walking speed and age in free-living, healthy individuals. Absolute values of gait speed are comparable to published normal ranges in clinical settings. This study highlights the potential use of mobile accelerometry to assess gait parameters which may be indicative of future health outcomes in healthy individuals. © 2011 Schimpl et al.";"Article";"10.1371/JOURNAL.PONE.0023299";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=19326203&id=doi:10.1371%2Fjournal.pone.0023299&atitle=Association+between+walking+speed+and+age+in+healthy%2C+free-living+individuals+using+mobile+accelerometry-a+cross-sectional+study&stitle=PLoS+ONE&title=PLoS+ONE&volume=6&issue=8&spage=&epage=&aulast=Schimpl&aufirst=Michaela&auinit=M.&aufull=Schimpl+M.&coden=&isbn=&pages=-&date=2011&auinit1=M&auinitm=";"Embase";"Yes";"";"";"no";"Out of scope";"No MS Patients";"Included";"";"Out of scope (topic)";"Actibelt"
"175";"Motl R.W., McAuley E., Dlugonski D.";"Reactivity in baseline accelerometer data from a physical activity behavioral intervention";"Health Psychology";2012;"Objective: This brief report describes the possibility of reactivity in the baseline assessment of physical activity using accelerometry from two separate randomized controlled trials of a behavior intervention for increasing physical activity in persons with multiple sclerosis (MS). Method: The samples included 18 persons with multiple sclerosis (MS) from Study 1 and 20 from Study 2 who were randomized into treatment arms of the intervention. The participants initially wore an accelerometer over a 7-day period for collection of baseline data, and one week later wore a pedometer over a 7-day period for collection of data for self-monitoring and goal setting in week 1 of the 12-week intervention. The accelerometer and pedometer data were both expressed in average steps per day over a 7-day period. Results: There was a moderate (d = .56), statistically significant (p = .03) difference of 1,822 steps per day between baseline and week 1 of the intervention in Study 1. There was a large (d = 1.36), statistically significant (p = .0001) difference of 2,338 steps per day in Study 2. Conclusion: We are unaware of other research describing a significant change in physical activity between baseline and the first week of a behavioral intervention and believe that this change reflects reactivity in the baseline assessment using accelerometry. © 2011 American Psychological Association.";"Article";"10.1037/A0025965";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=02786133&id=doi:10.1037%2Fa0025965&atitle=Reactivity+in+baseline+accelerometer+data+from+a+physical+activity+behavioral+intervention&stitle=Health+Psychol.&title=Health+Psychology&volume=31&issue=2&spage=172&epage=175&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=HEPSE&isbn=&pages=172-175&date=2012&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"no";"Out of scope";"";"Included";"";"Out of scope (outcomes)";"accelerometer used as outcome measure but no correlation"
"178";"Benedetti, MG; Agostini, V; Knaflitz, M; Gasparroni, V; Boschi, M; Piperno, R";"Self-reported gait unsteadiness in mildly impaired neurological patients: an objective assessment through statistical gait analysis";"JOURNAL OF NEUROENGINEERING AND REHABILITATION";2012;"Background: Self-reported gait unsteadiness is often a problem in neurological patients without any clinical evidence of ataxia, because it leads to reduced activity and limitations in function. However, in the literature there are only a few papers that address this disorder. The aim of this study is to identify objectively subclinical abnormal gait strategies in these patients. Methods: Eleven patients affected by self-reported unsteadiness during gait (4 TBI and 7 MS) and ten healthy subjects underwent gait analysis while walking back and forth on a 15-m long corridor. Time-distance parameters, ankle sagittal motion, and muscular activity during gait were acquired by a wearable gait analysis system (Step32, DemItalia, Italy) on a high number of successive strides in the same walk and statistically processed. Both self-selected gait speed and high speed were tested under relatively unconstrained conditions. Non-parametric statistical analysis (Mann-Whitney, Wilcoxon tests) was carried out on the means of the data of the two examined groups. Results: The main findings, with data adjusted for velocity of progression, show that increased double support and reduced velocity of progression are the main parameters to discriminate patients with self-reported unsteadiness from healthy controls. Muscular intervals of activation showed a significant increase in the activity duration of the Rectus Femoris and Tibialis Anterior in patients with respect to the control group at high speed. Conclusions: Patients with a subjective sensation of instability, not clinically documented, walk with altered strategies, especially at high gait speed. This is thought to depend on the mechanisms of postural control and coordination. The gait anomalies detected might explain the symptoms reported by the patients and allow for a more focused treatment design. The wearable gait analysis system used for long distance statistical walking assessment was able to detect subtle differences in functional performance monitoring, otherwise not detectable by common clinical examinations.";"Article";"10.1186/1743-0003-9-64";"WOS:000310270200001";"WoS";"Yes";"";"";"no";"";"";"Out of scope (topic)";"";"included";""
"184";"Daneault J., Carignan B., Codère C.E., Sadikot A.F., Duval C.";"Using a smart phone as a standalone platform for detection and monitoring of pathological tremors";"Frontiers in Human Neuroscience";2012;"INTRODUCTION: Smart phones are becoming ubiquitous and their computing capabilities are ever increasing. Consequently, more attention is geared towards their potential use in research and medical settings. For instance, their built-in hardware can provide quantitative data for different movements. Therefore, the goal of the current study was to evaluate the capabilities of a standalone smart phone platform to characterize tremor. RESULTS: Algorithms for tremor recording and online analysis can be implemented within a smart phone. The smart phone provides reliable time- and frequency-domain tremor characteristics. The smart phone can also provide medically-relevant tremor assessments. DISCUSSION: Smart phones have the potential to provide researchers and clinicians with quantitative short- and long-term tremor assessments that are currently not easily available. METHODS: A smart phone application for tremor quantification and online analysis was developed. Then, smart phone results were compared to those obtained simultaneously with a laboratory accelerometer. Finally, results from the smart phone were compared to clinical tremor assessments. © 2012 Daneault, Carignan, Codère, Sadikot and Duval.";"Article";"10.3389/FNHUM.2012.00357";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=16625161&id=doi:10.3389%2Ffnhum.2012.00357&atitle=Using+a+smart+phone+as+a+standalone+platform+for+detection+and+monitoring+of+pathological+tremors&stitle=Front.+Human+Neurosci.&title=Frontiers+in+Human+Neuroscience&volume=&issue=DEC&spage=1&epage=31&aulast=Daneault&aufirst=Jean-Fran%C3%A7ois&auinit=J.&aufull=Daneault+J.&coden=&isbn=&pages=1-31&date=2012&auinit1=J&auinitm=";"Embase";"No";"Out of scope (outcomes)/Teamdiscussion";"";"yes";"";"";"Out of scope (topic)";"";"included";""
"185";"Ranadive S.M., Yan H., Weikert M., Lane A.D., Linden M.A., Baynard T., Motl R.W., Fernhall B.";"Vascular dysfunction and physical activity in multiple sclerosis";"Medicine and Science in Sports and Exercise";2012;"Background: Multiple sclerosis (MS) is an inflammatory disorder of the brain and spinal cord. Disability status and progression are associated with reduced physical activity (PA) and cardiovascular function. Lack of adequate PA combined with inflammation may create high susceptibility to subclinical atherosclerosis and vascular dysfunction. Purpose: The purpose of this study was to compare subclinical atherosclerosis and arterial function between individuals with and without MS matched for age, sex, and body mass index. Methods: Thirty-three individuals diagnosed with MS and 33 controls underwent strain gauge plethysmography for resting forearm blood flow (FBF) and peak reactive hyperemia for the microvascular function. Intima-media thickness and arterial compliance (AC) were measured using carotid ultrasound for vascular function. C-reactive protein and PA (7-d accelerometer data) were also measured. Results: There was a significant difference (P G 0.05) in resting FBF, peak reactive hyperemia, central pulse wave velocity, and AC between the MS and control groups. PA was associated with peak FBF and central pulse wave velocity but not FBF and carotid AC. Individuals with MS exhibit reduced arterial function but similar intima-media thickness compared with controls. Persons with MS had significantly reduced PA levels compared with controls, and PA accounted for differences in arterial function between groups. Conclusions: These results indicate that subclinical markers of atherosclerosis are higher in individuals with MS, suggesting a higher risk of cardiovascular disease in this population. However, the higher levels of subclinical atherosclerosis were accounted for by the low PA in persons with MS, suggesting that increasing PA may reduce the increase in cardiovascular disease risk in patients with MS. Copyright © 2012 by the American College of Sports Medicine.";"Article";"10.1249/MSS.0B013E31822D7997";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=01959131&id=doi:10.1249%2FMSS.0b013e31822d7997&atitle=Vascular+dysfunction+and+physical+activity+in+multiple+sclerosis&stitle=Med.+Sci.+Sports+Exerc.&title=Medicine+and+Science+in+Sports+and+Exercise&volume=44&issue=2&spage=238&epage=243&aulast=Ranadive&aufirst=Sushant+M.&auinit=S.M.&aufull=Ranadive+S.M.&coden=MSCSB&isbn=&pages=238-243&date=2012&auinit1=S&auinitm=M";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Out of scope (topic)";"";"included";"accelerometer used as outcome measure"
