"";"Author.Names";"Title";"Source.title";"Publication.Year";"Abstract";"Publication.Type";"DOI";"ID";"database";"yvonne_included";"yvonne_excluded";"yvonne_comments";"catherine_included";"catherine_excluded";"catherine_comment";"johannes_included";"johannes_comment";"tim_included";"tim_comment"
"186";"Pilutti L.A., Dlugonski D., Pula J.H., Motl R.W.";"Weight status in persons with multiple sclerosis: Implications for mobility outcomes";"Journal of Obesity";2012;"The accumulation of excess body weight may have important health and disease consequences for persons with multiple sclerosis (MS). This study examined the effect of weight status on mobility using a comprehensive set of mobility outcomes including ambulatory performance (timed 25-foot walk, T25FW; 6-minute walk, 6MW; oxygen cost of walking, C w; spatiotemporal parameters of gait; self-reported walking impairment, Multiple Sclerosis Walking Scale-12 (MSWS-12); and free-living activity, accelerometry) in 168 ambulatory persons with MS. Mean (SD) BMI was 27.7 (5.1) kg/ m 2. Of the 168 participants, 31.0% were classified as normal weight (BMI = 18.5-24.9 kg/ m 2), 36.3% were classified as overweight (BMI = 25.0-29.9 kg/ m 2), and 32.7% were classified as obese, classes I and II (BMI = 30-39.9 kg/ m 2). There were no significant differences among BMI groups on T25FW and 6MW, C w, spatiotemporal gait parameters, MSWS-12, or daily step and movement counts. The prevalence of overweight and obesity in this sample was almost 70%, but there was not a consistent nor significant impact of BMI on outcomes of mobility. The lack of an effect of weight status on mobility emphasizes the need to focus on and identify other factors which may be important targets of ambulatory performance in persons with MS. © 2012 Lara A. Pilutti et al.";"Article";"10.1155/2012/868256";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=20900708&id=doi:10.1155%2F2012%2F868256&atitle=Weight+status+in+persons+with+multiple+sclerosis%3A+Implications+for+mobility+outcomes&stitle=J.+Obes.&title=Journal+of+Obesity&volume=2012&issue=&spage=&epage=&aulast=Pilutti&aufirst=Lara+A.&auinit=L.A.&aufull=Pilutti+L.A.&coden=&isbn=&pages=-&date=2012&auinit1=L&auinitm=A";"Embase";"Yes";"";"";"no";"Out of scope";"";"Out of scope (topic)";"";"included";"accelerometer used as outcome measure"
"211";"Hilfiker R., Vaney C., Gattlen B., Meichtry A., Deriaz O., Lugon-Moulin V., Anchisi-Bellwald A.M., Palaci C., Foinant D., Terrier P.";"Local dynamic stability as a responsive index for the evaluation of rehabilitation effect on fall risk in patients with multiple sclerosis: a longitudinal study.";"BMC research notes";2013;"Gait and balance problems are common in patients with multiple sclerosis, leading to high risk for falls. Local Dynamic Stability (LDS), a non-linear gait stability index, has been advocated as an early indicator of risk for falls. With this longitudinal study over three weeks, we aimed to assess the responsiveness of Local Dynamic Stability to a rehabilitation program and to compare it to other measures. Eighteen patients (mean 54 years, median EDSS score: 5) participated. They were admitted to inpatient rehabilitation and received a three weeks individually tailored program. They performed a 3-minute walking test at the beginning and at the end of the stay, as well as pain, wellbeing, fatigue, and balance assessment. The Local Dynamic Stability was computed from the acceleration signals measured with a 3D-accelerometer. At the end of the rehabilitation process, patients reported reduced pain (Effect Size: -0.7), fatigue (ES:-0.6), and increased wellbeing (ES: 1.1). A small positive effect on static balance was observed (ES: 0.3). LDS was improved (ES: 0.6), and the effect was higher than walking speed improvement (ES: 0.4). The Local Dynamic Stability seemed responsive to assess rehabilitation effects in patients with multiple sclerosis. It could constitute a valuable gait quality index, which could evaluate potential effects of rehabilitation on fall risk. Current Controlled Trials ISRCTN69803702.";"Article";"10.1186/1756-0500-6-260";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17560500&id=doi:10.1186%2F1756-0500-6-260&atitle=Local+dynamic+stability+as+a+responsive+index+for+the+evaluation+of+rehabilitation+effect+on+fall+risk+in+patients+with+multiple+sclerosis%3A+a+longitudinal+study.&stitle=BMC+Res+Notes&title=BMC+research+notes&volume=6&issue=&spage=260&epage=&aulast=Hilfiker&aufirst=Roger&auinit=R.&aufull=Hilfiker+R.&coden=&isbn=&pages=260-&date=2013&auinit1=R&auinitm=";"Embase";"Yes";"";"";"no";"Out of scope";"";"Included";"";"Out of scope (outcomes)";"accelerometer used as outcome measure but no correlation"
"248";"Reynard, F; Vuadens, P; Deriaz, O; Terrier, P";"Could Local Dynamic Stability Serve as an Early Predictor of Falls in Patients with Moderate Neurological Gait Disorders? A Reliability and Comparison Study in Healthy Individuals and in Patients with Paresis of the Lower Extremities";"PLOS ONE";2014;"Falls while walking are frequent in patients with muscular dysfunction resulting from neurological disorders. Falls induce injuries that may lead to deconditioning and disabilities, which further increase the risk of falling. Therefore, an early gait stability index would be useful to evaluate patients in order to prevent the occurrence of future falls. Derived from chaos theory, local dynamic stability (LDS), defined by the maximal Lyapunov exponent, assesses the sensitivity of a dynamic system to small perturbations. LDS has already been used for fall risk prediction in elderly people. The aim of the present study was to provide information to facilitate future researches regarding gait stability in patients with neurological gait disorders. The main objectives were 1) to evaluate the intra-session repeatability of LDS in patients and 2) to assess the discriminative power of LDS to differentiate between healthy individuals and neurological patients. Eighty-three patients with mild to moderate neurological disorders associated with paresis of the lower extremities and 40 healthy controls participated in the study. The participants performed 2x30 s walking wearing a 3D accelerometer attached to the lower back, from which 2x35 steps were extracted. LDS was defined as the average exponential rate of divergence among trajectories in a reconstructed state-space that reflected the gait dynamics. LDS assessed along the medio-lateral axis offered the highest repeatability and discriminative power. Intra-session repeatability (intraclass correlation coefficient between the two repetitions) in the patients was 0.89 and the smallest detectable difference was 16%. LDS was substantially lower in the patients than in the controls (33% relative difference, standardized effect size 2.3). LDS measured in short over-ground walking tests seems sufficiently reliable. LDS exhibits good discriminative power to differentiate fall-prone individuals and opens up the possibility of future clinical applications for better prediction of fall risk in neurological patients.";"Article";"10.1371/JOURNAL.PONE.0100550";"WOS:000338276300089";"WoS";"Yes";"";"";"no";"Out of scope";"";"Out of scope (topic)";"";"included";""
"275";"Huisinga, JM; St George, RJ; Spain, R; Overs, S; Horak, FB";"Postural Response Latencies Are Related to Balance Control During Standing and Walking in Patients With Multiple Sclerosis";"ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION";2014;"Objective: To understand and examine the relation between postural response latencies obtained during postural perturbations and representative measures of balance during standing (sway variables) and walking (trunk motion). Design: Cross-sectional. Setting: University medical center. Participants: Persons with multiple sclerosis (MS) (n=40) were compared with similar aged control subjects (n=20). There were 20 subjects with MS in the normal walking velocity group and 20 subjects with MS who had slow walking velocity based on a timed 25-foot walk (T25FW) of <5 seconds. Interventions: None. Main Outcome Measures: Postural response latency, sway variables, trunk motion variables. Results: We found that subjects with MS with both slow or normal walking velocities had significantly longer postural response latencies than the healthy control group. Postural response latency was not correlated with the T25FW. Postural response latency was significantly correlated with center of pressure sway variables during quiet standing (root mean square: rho=.334, P=.04; range: rho=.385, P=.017; mean velocity: rho=.337, P=.038; total sway area: rho=.393, P=.015). Postural response latency was also significantly correlated with motion of the trunk during walking (sagittal plane range of motion: rho=.316, P=.05; SD of transverse plane range of motion: rho=-.43, P=.006). Conclusions: These findings clearly indicate that slow postural responses to external perturbations in patients with MS contribute to disturbances in balance control during both standing and walking. (C) 2014 by the American Congress of Rehabilitation Medicine";"Article";"10.1016/J.APMR.2014.01.004";"WOS:000338479700023";"WoS";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"Out of scope (topic)";"Forceplate & EMG, no wearable (?)"
"282";"M. Vandermaesen";"ReHoblet - A home-based rehabilitation game on the tablet";"2014 IEEE 16th International Conference on e-Health Networking, Applications and Services, Healthcom 2014";2014;NA;"Conference Paper";"10.1109/HEALTHCOM.2014.7001878";"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84921732967&origin=inward";"Scopus";"No";"Out of scope (topic)";"";"yes";"";"Conference paper with sufficient data, tablet technology to assess motor function";"Included";"";"Out of scope (topic)";"therapeutic game, no diagnostic sensor readings"
"287";"Villarejo M.V., García J.M., Zapirain B.G., Zorrilla A.M.";"Technological solution for determining gait parametersusing pressure sensors: A case study of multiple sclerosis patients";"Bio-Medical Materials and Engineering";2014;"This paper describes a study dealing with a technological solution to measure gait quality in people suffering from multiple sclerosis (MS) by selecting objective parameters that focus on their step. Android mobile technology, online services and four wireless pressure sensors are used in concert for this purpose. The objective of this work is the early detection of deterioration of the patient so that a physician can quickly intervene. Tests were carried out on a group of 8 persons with MS, and these results were compared with a control a group of 6 healthy participants. The results indicated a statistical difference in 7 of 40 general step features, with a minimum ? = 0.013 and a maximum ? = 0.029. These characteristics showed differences between first and fifth metatarsals for each group. It was concluded that these parameters can be used to evaluate gait degeneration in people with MS and that further information could be obtained from measurements with sensors to monitor activities such as bending and inertial sensors.";"Conference Paper";"10.3233/BME-141177";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18783619&id=doi:10.3233%2FBME-141177&atitle=Technological+solution+for+determining+gait+parametersusing+pressure+sensors%3A+A+case+study+of+multiple+sclerosis+patients&stitle=Bio-Med.+Mater.+Eng.&title=Bio-Medical+Materials+and+Engineering&volume=24&issue=6&spage=3511&epage=3522&aulast=Villarejo&aufirst=Mar%C3%ADa+Viqueira&auinit=M.V.&aufull=Villarejo+M.V.&coden=BMENE&isbn=&pages=3511-3522&date=2014&auinit1=M&auinitm=V";"Embase";"No";"Out of scope (topic)";"";"yes";"";"Conference paper with sufficient data";"Included";"";"Out of scope (outcomes)";"sole (bottom of the foot) pressure sensors"
"296";"Feldhege F., Mau-Moeller A., Lindner T., Hein A., Markschies A., Zettl U.K., Bader R.";"Accuracy of a custom physical activity and knee angle measurement sensor system for patients with neuromuscular disorders and gait abnormalities";"Sensors (Basel, Switzerland)";2015;"Long-term assessment of ambulatory behavior and joint motion are valuable tools for the evaluation of therapy effectiveness in patients with neuromuscular disorders and gait abnormalities. Even though there are several tools available to quantify ambulatory behavior in a home environment, reliable measurement of joint motion is still limited to laboratory tests. The aim of this study was to develop and evaluate a novel inertial sensor system for ambulatory behavior and joint motion measurement in the everyday environment. An algorithm for behavior classification, step detection, and knee angle calculation was developed. The validation protocol consisted of simulated daily activities in a laboratory environment. The tests were performed with ten healthy subjects and eleven patients with multiple sclerosis. Activity classification showed comparable performance to commercially available activPAL sensors. Step detection with our sensor system was more accurate. The calculated flexion-extension angle of the knee joint showed a root mean square error of less than 5° compared with results obtained using an electro-mechanical goniometer. This new system combines ambulatory behavior assessment and knee angle measurement for long-term measurement periods in a home environment. The wearable sensor system demonstrated high validity for behavior classification and knee joint angle measurement in a laboratory setting.";"Article";"10.3390/S150510734";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14248220&id=doi:10.3390%2Fs150510734&atitle=Accuracy+of+a+custom+physical+activity+and+knee+angle+measurement+sensor+system+for+patients+with+neuromuscular+disorders+and+gait+abnormalities&stitle=Sensors+%28Basel%29&title=Sensors+%28Basel%2C+Switzerland%29&volume=15&issue=5&spage=10734&epage=10752&aulast=Feldhege&aufirst=Frank&auinit=F.&aufull=Feldhege+F.&coden=&isbn=&pages=10734-10752&date=2015&auinit1=F&auinitm=";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"Out of scope (outcomes)";"knee accelerometers range of movement angle"
"299";"Ayache S.-S., Al-ani T., Farhat W.-H., Zouari H.-G., Créange A., Lefaucheur J.-P.";"Analysis of tremor in multiple sclerosis using Hilbert-Huang Transform";"Neurophysiologie Clinique";2015;"Tremor is frequently described in patients with multiple sclerosis (MS) but remains poorly characterized using neurophysiological techniques. Accelerometric (ACC) and electromyographic (EMG) recordings were performed in 26 MS patients complaining of clumsiness, associated (n= 16) or not associated (n= 10) with visible tremor. Seventeen healthy subjects with physiological tremor (PT) and eight patients with essential tremor (ET) served as controls. Signals were analyzed using non-linear Empirical Mode Decomposition (EMD) and related Hilbert-Huang Transform (HHT), compared to the standard linear spectral analysis using Fast Fourier Transform (FFT). The presence of cerebellar signs and motor deficit was assessed on clinical examination. Using FFT, tremor was found in all patients with ET and 12% of subjects with PT, but in none of the MS patients, even in the presence of visible tremor. In contrast, EMD-HHT analysis of ACC-EMG coupling showed common frequency peaks characterizing tremor related to a central generator in 62.5% of MS patients with visible tremor, 40% of MS patients without visible tremor, 29% of subjects with PT, and all patients with ET. In EMD-HHT analysis, tremor characteristics were similar in subjects with PT and MS patients, regardless of the presence of a visible tremor, but these characteristics clearly differed in patients with ET. A visible tremor in MS patients was associated with more frequent cerebellar signs and less motor deficit at the upper limb. The low-frequency tremor observed in MS patients could therefore originate in lesions of the brainstem (midbrain) or cerebellothalamic circuits, or may correspond to an enhanced PT, partly favored by cerebellar dysfunction and being more visible during movement execution in the absence of concomitant motor deficit.";"Article";"10.1016/J.NEUCLI.2015.09.013";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17697131&id=doi:10.1016%2Fj.neucli.2015.09.013&atitle=Analysis+of+tremor+in+multiple+sclerosis+using+Hilbert-Huang+Transform&stitle=Neurophysiol.+Clin.&title=Neurophysiologie+Clinique&volume=45&issue=6&spage=475&epage=484&aulast=Ayache&aufirst=S.-S.&auinit=S.-S.&aufull=Ayache+S.-S.&coden=NCLIE&isbn=&pages=475-484&date=2015&auinit1=S&auinitm=-S";"Embase";"Yes";"";"";"no";"Out of scope";"";"Included";"";"Out of scope (outcomes)";""
"302";"J. Gong";"Causal analysis of inertial body sensors for enhancing gait assessment separability towards multiple sclerosis diagnosis";"2015 IEEE 12th International Conference on Wearable and Implantable Body Sensor Networks, BSN 2015";2015;NA;"Conference Paper";"10.1109/BSN.2015.7299400";"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84961661992&origin=inward";"Scopus";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"Out of scope (outcomes)";""
"307";"J. Havlík";"Design and realization of measuring device for tremor evaluation";"2015 International Workshop on Computational Intelligence for Multimedia Understanding, IWCIM 2015";2015;NA;"Conference Paper";"10.1109/IWCIM.2015.7347079";"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962911372&origin=inward";"Scopus";"No";"Out of scope (outcomes)/Teamdiscussion";"https://ieeexplore.ieee.org/document/7347079";"yes";"";"Conference paper with sufficient data";"Included";"";"Out of scope (outcomes)";""
"318";"Bove R., White C.C., Giovannoni G., Glanz B., Golubchikov V., Hujol J., Jennings C., Langdon D., Lee M., Legedza A., Paskavitz J., Prasad S., Richert J., Robbins A., Roberts S., Weiner H., Ramachandran R., Botfield M., De Jager P.L.";"Evaluating more naturalistic outcome measures";"Neurology: Neuroimmunology and NeuroInflammation";2015;"Objective: In this cohort of individuals with and without multiple sclerosis (MS), we illustrate some of the novel approaches that smartphones provide to monitor patients with chronic neurologic disorders in their natural setting. Methods: Thirty-eight participant pairs (MS and cohabitant) aged 18-55 years participated in the study. Each participant received an Android HTC Sensation 4G smartphone containing a custom application suite of 19 tests capturing participant performance and patient-reported outcomes (PROs). Over 1 year, participants were prompted daily to complete one assigned test. Results: A total of 22 patients with MS and 17 cohabitants completed the entire study. Among patients with MS, low scores on PROs relating tomental and visual function were associated with dropout (p < 0.05). We illustrate several novel features of a smartphone platform. First, fluctuations in MS outcomes (e.g., fatigue) were assessed against an individual's ambient environment by linking responses to meteorological data. Second, both response accuracy and speed for the Ishihara color vision test were captured, highlighting the benefits of both active and passive data collection. Third, a new trait, a person-specific learning curve in neuropsychological testing, was identified using spline analysis. Finally, averaging repeated measures over the study yielded the most robust correlation matrix of the different outcome measures. Conclusions: We report the feasibility of, and barriers to, deploying a smartphone platform to gather useful passive and active performance data at high frequency in an unstructured manner in the field. A smartphone platform may therefore enable large-scale naturalistic studies of patients with MS or other neurologic diseases.";"Article";"10.1212/NXI.0000000000000162";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=23327812&id=doi:10.1212%2FNXI.0000000000000162&atitle=Evaluating+more+naturalistic+outcome+measures&stitle=Neurol.+Neuroimmunol.+Neuroinflamm.&title=Neurology%3A+Neuroimmunology+and+NeuroInflammation&volume=2&issue=6&spage=&epage=&aulast=Bove&aufirst=Riley&auinit=R.&aufull=Bove+R.&coden=&isbn=&pages=-&date=2015&auinit1=R&auinitm=";"Embase";"No";"Out of scope (outcomes)/Teamdiscussion";"";"yes";"";"";"Out of scope (topic)";"";"included";"Bove paper!"
"333";"Grover S.A., Hopkins-Topp D., Sawicki C.P., Motl R.W., Finlayson M., Schneiderman J.E., Till C., Banwell B., Yeh E.A.";"Low levels of participation in vigorous physical activity in youth with multiple sclerosis and the associations with fatigue and depression";"Multiple Sclerosis";2015;"Background: Acquired demyelinating syndromes (ADS) occur in about 1/100,000 children. About 1/5 will eventually receive a diagnosis of multiple sclerosis (MS). Up to 3/4 of children with MS suffer from depression, fatigue, and/or cognitive impairment. Previous studies in healthy adolescents and adults with MS have shown physical activity (PA) to benefit cognition and psychosocial outcomes. Investigating PA may help in the development of non-pharmacologic interventions for symptom management in pediatric MS. Goals: To investigate: (1) PA levels in youth with monophasic ADS (mono-ADS) and MS in comparison to healthy controls (HC); (2) The associations of PA levels in youth with MS wh experience fatigue and depression. Methods: 74 consecutive patients were recruited from the Neuroinflammatory Clinic at the Hospital for Sick Children, Toronto, Canada (25 MS, 49 mono-ADS). 45 HC were recruited by flyers/word of mouth. Accelerometry (7 days), PA (Godin Leisure Time Exercise Questionnaire (GLTEQ)), fatigue (PedsQL MFS) and depression (CES-DC) questionnaires were completed by all participants. SickKids research ethics approval was obtained. Results: MS participants (15.7±1.9 yo) were older than mono- ADS (13.7±2.6; p=0.001) and HC (14.4±2.4; p=0.03) participants. The proportion of females was not different across groups (p=0.14). Accelerometer data showed lower vigorous PA in the MS group (0.07±1.5 min/d) than in the mono-ADS (3.3±5.6 min/d; p=0.006) and HC (5.6±5.0 min/d; p=0.004) groups. On the GLTEQ, indicated MS patients compared with mono-ADS patients participated in lower levels of strenuous (17±18 vs. 30±21 METs, p=0.01) and total (42±29 vs. 63±32 METs, p=0.02) PA. Results remained after controlling for age. No differences were found in fatigue or depression between the groups. For the MS group, fatigue was correlated with depression (r=0.76) and vigorous PA was negatively correlated with fatigue (r=-0.53) and depression (r=-0.54). Conclusions: Youth with MS participate in less vigorous/strenuous PA than their mono-ADS and HC counterparts. Those who participate in higher levels of vigorous PA report fewer depressive and fatigue symptoms. This study is limited by its crosssectional nature, therefore, directionality of this association is unknown. Future investigations should focus on interventions that will help increase the amount of vigorous/strenuous PA as this may have the potential to ameliorate depression and fatigue in youth with MS.";"Conference Abstract";"10.1177/1352458515602642";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13524585&id=doi:10.1177%2F1352458515602642&atitle=Low+levels+of+participation+in+vigorous+physical+activity+in+youth+with+multiple+sclerosis+and+the+associations+with+fatigue+and+depression&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=23&issue=11&spage=379&epage=380&aulast=Grover&aufirst=S.A.&auinit=S.A.&aufull=Grover+S.A.&coden=&isbn=&pages=379-380&date=2015&auinit1=S&auinitm=A";"Embase";"Yes";"";"";"no";"Out of scope";"youth population";"Abstract only";"";"included";"accelerometer used as outcome measure"
